product_id,product_name,category,supplier_id,cost_price,retail_price,inventory_count,reorder_level,discontinued,name,country,markup_percentage,inventory_value
1,Product_1,Home,92,26.437128848515197,39.19197691707078,38,10,False,Supplier_92,China,48.245965519330376,1004.6108962435775
2,Product_2,Home,51,16.27047170134606,29.737835567421477,57,10,False,Supplier_51,USA,82.77180965172177,927.4168869767254
3,Product_3,Sports,16,59.51971370513963,153.18487280972838,42,12,False,Supplier_16,China,157.368295769374,2499.8279756158645
4,Product_4,Sports,60,6.303638807603891,22.74242592202878,55,8,False,Supplier_60,USA,260.782503822955,346.70013441821396
5,Product_5,Home,48,23.748091906350222,23.46017087835538,54,7,False,Supplier_48,Germany,-1.2123964701258845,1282.396962942912
6,Product_6,Books,96,10.154833949928237,91.14499514374391,53,12,False,Supplier_96,USA,797.5527871077402,538.2061993461966
7,Product_7,Clothing,51,12.24079843754606,27.901264850328428,54,5,False,Supplier_51,USA,127.93664149184256,661.0031156274872
8,Product_8,Electronics,5,34.72188101273621,54.702125274252154,43,12,False,Supplier_5,China,57.543668945202185,1493.0408835476571
9,Product_9,Books,53,38.388909890335604,39.832266927071764,52,13,False,Supplier_53,Germany,3.7598281401044016,1996.2233142974515
10,Product_10,Home,32,11.190604596240197,156.3287172768384,49,4,False,Supplier_32,Germany,1296.9639971852948,548.3396252157696
11,Product_11,Electronics,97,16.57235385161782,6.729764348600445,42,17,True,Supplier_97,China,-59.39162047313229,696.0388617679484
12,Product_12,Home,11,25.911544537300724,195.43671645399598,47,13,False,Supplier_11,China,654.2457230701044,1217.842593253134
13,Product_13,Books,83,3.308333885150834,162.3018482266806,49,7,False,Supplier_83,USA,4805.848498398489,162.10836037239088
14,Product_14,Books,81,3.90252672581368,17.429975942618398,51,8,False,Supplier_81,China,346.6330961252862,199.0288630164977
15,Product_15,Sports,73,19.07597888380402,68.69853269268617,58,6,False,Supplier_73,USA,260.13110053824255,1106.4067752606331
16,Product_16,Clothing,66,19.849402968130487,55.90856814765645,51,6,False,Supplier_66,USA,181.6637268003542,1012.3195513746549
17,Product_17,Sports,18,19.282852083486077,292.5015172442947,44,13,False,Supplier_18,USA,1416.8996576745735,848.4454916733873
18,Product_18,Home,48,25.62600502920175,150.9506130372274,57,8,False,Supplier_48,Germany,489.05246005069375,1460.6822866644998
19,Product_19,Home,60,36.62989047833083,40.43604107132183,59,7,False,Supplier_60,USA,10.39083257768027,2161.163538221519
20,Product_20,Electronics,70,11.503610647294458,73.57489664287311,53,6,False,Supplier_70,USA,539.580901151042,609.6913643066063
21,Product_21,Sports,38,7.864829011718768,98.40593876468236,59,7,False,Supplier_38,China,1151.215234534093,464.0249116914073
22,Product_22,Sports,1,1.4919464884638398,25.581988356297355,51,15,False,Supplier_1,China,1614.6719774539274,76.08927091165583
23,Product_23,Electronics,30,13.511625873501272,23.065614656433407,42,6,False,Supplier_30,Germany,70.70939406092664,567.4882866870535
24,Product_24,Clothing,26,25.44344081726027,15.193037699748729,56,10,False,Supplier_26,Germany,-40.2870161749424,1424.8326857665752
25,Product_25,Clothing,67,20.89910841596528,61.008586487473785,42,16,False,Supplier_67,China,191.91956552973335,877.7625534705418
26,Product_26,Electronics,93,65.89529453671263,34.21752819117394,36,11,False,Supplier_93,Germany,-48.072880724267606,2372.2306033216546
27,Product_27,Sports,89,4.847426871355822,14.494157537696799,49,6,False,Supplier_89,USA,199.00724492297073,237.52391669643526
